PPG GSR SENSOR_TIME COMPUTER_TIME
0.000000 -18291.000000 9789332 1590688753.557296
0.000000 -18291.000000 9789492 1590688753.558293
0.000000 -18291.000000 9789652 1590688753.559287
0.000000 -18291.000000 9789812 1590688753.566273
0.000000 -18291.000000 9789972 1590688753.566273
0.732601 -18291.000000 9790132 1590688753.577491
0.000000 -18291.000000 9790292 1590688753.577491
0.732601 -18291.000000 9790452 1590688753.588209
0.000000 -18291.000000 9790612 1590688753.589206
0.732601 -391755.000000 9790772 1590688753.589206
0.000000 -391755.000000 9790932 1590688753.590203
0.000000 -391755.000000 9791092 1590688753.605172
0.000000 -391755.000000 9791252 1590688753.605172
0.000000 -391755.000000 9791412 1590688753.613146
0.000000 -391755.000000 9791572 1590688753.614142
0.000000 -391755.000000 9791732 1590688753.625114
0.000000 -391755.000000 9791892 1590688753.625114
0.732601 -391755.000000 9792052 1590688753.636090
0.000000 -391755.000000 9792212 1590688753.636090
0.732601 -391755.000000 9792372 1590688753.645135
0.732601 -391755.000000 9792532 1590688753.645135
0.000000 -391755.000000 9792692 1590688753.661130
0.000000 -391755.000000 9792852 1590688753.661130
0.000000 -391755.000000 9793012 1590688753.662094
0.000000 -391755.000000 9793172 1590688753.662094
0.000000 -391755.000000 9793332 1590688753.672065
0.000000 124090.909091 9793492 1590688753.672065
0.000000 124090.909091 9793652 1590688753.681142
0.000000 124090.909091 9793812 1590688753.681142
0.000000 124090.909091 9793972 1590688753.706080
0.000000 124090.909091 9794132 1590688753.706080
0.000000 124090.909091 9794292 1590688753.707073
0.732601 124090.909091 9794452 1590688753.707073
0.000000 124090.909091 9794612 1590688753.735001
0.000000 124090.909091 9794772 1590688753.735001
0.000000 124090.909091 9794932 1590688753.735994
0.732601 124090.909091 9795092 1590688753.735994
0.000000 124090.909091 9795252 1590688753.760932
0.000000 124090.909091 9795412 1590688753.760932
0.000000 124090.909091 9795572 1590688753.761927
0.000000 124090.909091 9795732 1590688753.762923
0.000000 124090.909091 9795892 1590688753.770058
0.000000 124090.909091 9796052 1590688753.770058
0.000000 79026.315789 9796212 1590688753.770902
0.000000 81900.000000 9796372 1590688753.770902
0.000000 79026.315789 9796532 1590688753.771901
0.000000 79026.315789 9796692 1590688753.772899
0.732601 81900.000000 9796852 1590688753.785869
0.000000 79026.315789 9797012 1590688753.785869
0.000000 79026.315789 9797172 1590688753.791848
0.732601 81900.000000 9797332 1590688753.792844
0.000000 81900.000000 9797492 1590688753.801848
0.000000 81900.000000 9797652 1590688753.802819
0.000000 79026.315789 9797812 1590688753.813793
0.732601 81900.000000 9797972 1590688753.813793
0.000000 81900.000000 9798132 1590688753.818778
0.000000 79026.315789 9798292 1590688753.818778
0.000000 79026.315789 9798452 1590688753.829747
0.000000 81900.000000 9798612 1590688753.829747
0.000000 81900.000000 9798772 1590688753.838724
0.000000 81900.000000 9798932 1590688753.838724
0.000000 81900.000000 9799092 1590688753.849694
0.000000 81900.000000 9799252 1590688753.849694
0.000000 81900.000000 9799412 1590688753.858669
0.732601 81900.000000 9799572 1590688753.858669
0.000000 81900.000000 9799732 1590688753.869641
0.000000 79026.315789 9799892 1590688753.869641
0.000000 79026.315789 9800052 1590688753.880618
0.732601 81900.000000 9800212 1590688753.881608
0.000000 79026.315789 9800372 1590688753.887598
0.000000 81900.000000 9800532 1590688753.887598
0.000000 81900.000000 9800692 1590688753.894572
0.000000 79026.315789 9800852 1590688753.895571
0.000000 79026.315789 9801012 1590688753.910530
0.000000 79026.315789 9801172 1590688753.911528
0.000000 81900.000000 9801332 1590688753.915519
0.000000 79026.315789 9801492 1590688753.916514
0.000000 79026.315789 9801652 1590688753.930486
0.000000 81900.000000 9801812 1590688753.931475
0.000000 81900.000000 9801972 1590688753.932475
0.732601 81900.000000 9802132 1590688753.932475
0.000000 81900.000000 9802292 1590688753.949430
0.000000 79026.315789 9802452 1590688753.950426
0.732601 79026.315789 9802612 1590688753.959405
0.000000 81900.000000 9802772 1590688753.960396
0.732601 81900.000000 9802932 1590688753.973364
0.000000 79026.315789 9803092 1590688753.974360
0.000000 81900.000000 9803252 1590688753.982340
0.000000 81900.000000 9803412 1590688753.982340
0.000000 81900.000000 9803572 1590688753.993314
0.732601 81900.000000 9803732 1590688753.994319
0.000000 81900.000000 9803892 1590688754.007277
0.000000 81900.000000 9804052 1590688754.007277
0.000000 79026.315789 9804212 1590688754.016253
0.000000 81900.000000 9804372 1590688754.016253
0.732601 81900.000000 9804532 1590688754.022231
0.000000 81900.000000 9804692 1590688754.022231
0.000000 81900.000000 9804852 1590688754.038229
0.000000 79026.315789 9805012 1590688754.039188
0.000000 79026.315789 9805172 1590688754.039188
0.732601 79026.315789 9805332 1590688754.039188
0.732601 79026.315789 9805492 1590688754.050157
0.000000 79026.315789 9805652 1590688754.050157
0.732601 79026.315789 9805812 1590688754.054146
0.000000 79026.315789 9805972 1590688754.055142
0.000000 81900.000000 9806132 1590688754.106012
0.000000 81900.000000 9806292 1590688754.106012
0.000000 79026.315789 9806452 1590688754.107005
0.000000 81900.000000 9806612 1590688754.108003
0.000000 79026.315789 9806772 1590688754.109000
0.000000 79026.315789 9806932 1590688754.109000
0.000000 79026.315789 9807092 1590688754.110009
0.000000 81900.000000 9807252 1590688754.110009
0.732601 81900.000000 9807412 1590688754.110994
0.000000 79026.315789 9807572 1590688754.110994
0.732601 79026.315789 9807732 1590688754.111992
0.000000 79026.315789 9807892 1590688754.112989
0.732601 79026.315789 9808052 1590688754.146958
0.000000 81900.000000 9808212 1590688754.147895
0.000000 81900.000000 9808372 1590688754.149891
0.000000 81900.000000 9808532 1590688754.149891
0.000000 79026.315789 9808692 1590688754.150889
0.000000 81900.000000 9808852 1590688754.150889
0.732601 81900.000000 9809012 1590688754.151885
0.000000 79026.315789 9809172 1590688754.152883
0.000000 79026.315789 9809332 1590688754.164891
0.000000 79026.315789 9809492 1590688754.164891
0.732601 81900.000000 9809652 1590688754.169958
0.000000 81900.000000 9809812 1590688754.169958
0.000000 81900.000000 9809972 1590688754.184868
0.000000 79026.315789 9810132 1590688754.184868
0.000000 79026.315789 9810292 1590688754.195807
0.000000 81900.000000 9810452 1590688754.196814
0.000000 81900.000000 9810612 1590688754.196814
0.000000 79026.315789 9810772 1590688754.197807
0.000000 81900.000000 9810932 1590688754.211764
0.000000 81900.000000 9811092 1590688754.212760
0.000000 79026.315789 9811252 1590688754.218747
0.000000 81900.000000 9811412 1590688754.218747
0.000000 81900.000000 9811572 1590688754.234707
0.000000 81900.000000 9811732 1590688754.234707
0.000000 79026.315789 9811892 1590688754.235706
0.000000 79026.315789 9812052 1590688754.236704
0.000000 79026.315789 9812212 1590688754.247672
0.732601 81900.000000 9812372 1590688754.247672
0.000000 81900.000000 9812532 1590688754.258640
0.732601 81900.000000 9812692 1590688754.258640
0.000000 81900.000000 9812852 1590688754.269611
0.000000 79026.315789 9813012 1590688754.270606
0.000000 81900.000000 9813172 1590688754.287560
0.000000 79026.315789 9813332 1590688754.287560
0.000000 79026.315789 9813492 1590688754.297537
0.000000 79026.315789 9813652 1590688754.297537
0.000000 81900.000000 9813812 1590688754.302529
0.000000 81900.000000 9813972 1590688754.302529
0.000000 81900.000000 9814132 1590688754.319479
0.000000 79026.315789 9814292 1590688754.320480
0.000000 79026.315789 9814452 1590688754.331453
0.000000 79026.315789 9814612 1590688754.331453
0.000000 81900.000000 9814772 1590688754.332450
0.000000 81900.000000 9814932 1590688754.332450
0.732601 81900.000000 9815092 1590688754.361373
0.732601 79026.315789 9815252 1590688754.361373
0.000000 81900.000000 9815412 1590688754.364358
0.000000 81900.000000 9815572 1590688754.365360
0.000000 81900.000000 9815732 1590688754.366352
